text,category
พอมาบ้าน เค้าก็แอบคุยนะ,negative
ส่องเฟสเค้าทุกวัน แต่ไม่กล้าแอด,positive
เราร้องไห้จะเป็นจะตาย,negative
ได้แต่โทษตัวเองว่าทำไมยอมให้เค้ากลับมาทำร้ายจิตใจกันง่ายๆ,negative
ชาไปหมดเลย,negative
คำพูดแย่ๆของอดีตคนเคยรักที่ความประพฤติเขาก็แย่,negative
เขาได้พูดกับเรามาว่า ถ้าต้องให้เลิกยุ่งกับพวกนั้น เลิกกับเราง่ายกว่า,negative
เหล้ามีบ้างแต่น้อยมาก,positive
ใช้ความสบายใจเป็นหลัก,positive
จู่ๆวันหนึ่ง เค้าก็ทักมาจนได้,positive
ไม่มีความรับผิดชอบ,negative
ช่วยให้ไม่ต้องคิดลบกับรูปร่างของตัวเองด้วย,positive
แฟนเราเป็นคนมีเหตุผลมากถึงมากที่สุด,positive
มันเป็นสิ่งที่บอกว่าเรากำลังเรียนรู้ การเลือกหนทางเดินที่ถูกต้อง,positive
เค้าชอบเรามั๊ยน้อ แบบนี้ รึคิดไปเองคนเดียว,positive
แต่เราอดคิดมากไม่ได้ เหมือนปิดบังอะไรอยู่,negative
รู้จักกอดตัวเองบ้าง เราจะมีกำลังใจขึ้นเยอะเลย,positive
เราบอกเราให้,positive
เรายังดีไม่พอ,negative
จะทะเลาะประสาทเสียทุกรอบ,negative
เราลืมเขาไม่ได้เลย เลิกกันเกือบปีแล้ว,negative
จนวันแล้ววันเล่า ผมก็ยังไม่ลืมเธอ,positive
เรากับแฟนเราไม่ได้อยู่ด้วยกันนะ,negative
ส่วนเรื่องหึงเราแถบจะไม่มีเลยค่ะ,positive
เมื่อกี้แยกย้ายกันไปนอนบอกฝันดีกัน,positive
รักจนวางแผนกันไว้ว่าจะแต่งงานกัน,positive
เข้ากับคนง่าย,positive
ตอนนี้มองหน้ากันไม่ติดค่ะ เขาด่าเราไว้แรงมาก,negative
อยากสร้างชีวิตคู่ไปพร้อมๆกัน,positive
ต่างคนต่างทำงานกันจะไม่ค่อยมีเวลาคุยกัน,negative
รู้สึกซึมๆ ทั้งที่ปากเราบอกว่าไม่ได้ชอบ,negative
เเฟนเราทำงานโรงงาน เเฟนเราเป็นคนเริ่มด้วยค่ะทั้งสองคนเลย พอเราจับได้ เราเลิกกันไป 3 วัน,negative
เครียดมากเลยค่ะ,negative
เค้าเลยบอกว่าเราเป็นแค่คนชั่วคราวเท่านั้นหรือแบบแฟนชั่วคราว,negative
แต่เจอพฤติกรรมแบบนี้ผมก็เหนื่อย อะไรนิดหน่อยก็โกรธ งอน ชวนทะเลาะ. แถมให้ความสำคัญผมเป็นอันดับสุดท้าย,negative
หนูก็ยังกังวลอยู่,negative
เราเจอกันบ่อยจนเวลาผ่านไป 1 ปี ผมก็เริ่มรู้สึกชอบน้องเขา อยากจะรู้จักน้องจริงๆ,positive
มันมีไม่กี่คนหรอกที่ยังอยู่กับเราในทุกช่วงเวลา,positive
เรากลับมาคบกับเขาเพราะเขาสัญญาเเล้วว่าจะไม่ทำอีก,positive
ในตอนนี้เรายังออกจากจุดนี้ยังไม่ได้สักที,negative
แฟนนอกใจ,negative
เราต้องเดินออกมา แล้วไม่ติดต่อไปอีกเลย,negative
แฟนใหม่ดีมากๆเลย,positive
ผมอายเวลาแสดงความรักกับแฟน,positive
นอกจากหล่อแล้วยังนิสัยดีมากๆอีก,positive
คนคุยเก่าเขาแทบไม่ดีเลย,negative
แล้วนิสัยก็แบบเดิม,negative
ผมได้แต่นั่งนอนเสียใจ ทำไมผมเป็นคนขี้ขลาดขนาดนี้,negative
เริ่มคุยกันแบบเหมือนกับคนคุยแล้ว,positive
เรายังไม่มั่นใจว่าเค้าได้โกหกอะไรเราไหม,negative
เรากับแฟนค่อนข้างคุยกันเรื่องนี้เพราะสนิทกันมากค่ะ,positive
เราแอบอมยิ้มใต้แมสเลย,positive
ตอนนั้นไม่เข้าใจตัวเองมากๆว่าเราคิดกับเขายังไง,negative
มีคนมาจีบเรานะ แอบคุยบ้าง,positive
มีโอกาสหรือว่ามีสิทธิมั้ยคะ ถ้าเค้าเมามากๆ แล้วพากันไปไหนต่อไหนต่อ รึว่าไปต่อที่อื่น เค้าจะไปมีอะไรกับใครที่ไหนมั้ยคะ,negative
ได้คุยกันแบบความสัมพันธ์แบบพี่น้อง,positive
ออกไปทำในสิ่งที่ตัวเองชอบบ้างก็ดี,positive
ไม่มีทางชอบเค้า,negative
อาจจะเป็นเพราะนิสัยที่สบายๆของเรา,positive
นี่คืออาการหลงรักเราแล้วใช่ไหม,positive
รู้สึกผิดหวัง,negative
ที่คุยๆกันถ้าไม่นับเรื่องนี้รู้สึกโอเคกับเขามากๆ,positive
มันอยู่ด้วยความระแวงทุกวัน,negative
เรากลับเริ่มต้น​ใหม่​กับ​ใคร​ไม่​ได้,negative
ประโยคนี้น้ำตัวร่วงเลยค่ะ,negative
แฟนเป็นคนหน้าตาดี ส่วนเราเป็นผู้หญิงหน้าตาธรรมดาๆ แต่แฟนก็รักเรามากและดูแลอย่างดี,positive
ชอบน้องคนนึงอยู่ที่ทำงานแต่ตอนนั้นมีแฟนเราก็เลยไม่ได้อะไร,negative
หักหลังไม่พอ ต้องมาทรมานกับอดีตที่ฝังใจอีก,negative
เวลาคุยกับเราตะคอกด่าว่าเราสาระพัด,negative
หรือแฟนเราจะเป็นเทวดาปลอมตัวมาคะ,positive
บางทีเจ็บเอง เศร้าเองคนเดียว,negative
เรากับเค้าอยู่ไกลกันมาก ปีนึงเจอกันนับครั้งได้,negative
เขาก็ไม่เข้าใจ ก็จะให้ไปให้ได้,negative
ผมคุยกับผญ.คนนึงมาประมาณ3เดือนรู้จักผ่านเพื่อนของเพื่อน,positive
ให้เวลาเราตามที่เราต้องการ,positive
ยังคิดถึง นึกถึงตลอดเวลา,positive
เค้าปรับปรุงตัวเองให้ดีขึ้น,positive
เห็นอีกฝ่ายเริ่มไม่พอใจ ,negative
ผมก็รู้สึกว่าเขาน่ารักมากสำหรับผม,positive
ค่อนข้างจะเป็นที่รักชอบเพื่อนฝูง,positive
เวลาคบใครก็ระเเวงไปหมดกลัวเขาจะเเอบคุยกับใคร สุดท้ายเเล้วก็เกิดขึ้นกับคนปัจจุบัน,negative
คุณนอก็คิดไปเองเก่ง คิดว่าคุณโตโยชอบอะไรงี้,positive
ตอนนี้เราทั้งรัก,positive
รุ้ใจกันจนสามารถคุยได้ทุกเรื่อง,positive
ลืมแฟนเก่าไม่ได้,negative
มีเพื่อนคนนึงเราถือว่าสนิทมากไว้ใจทุกเรื่อง,positive
เวลาออกไปเที่ยวกับเพื่อนก็จะเฮฮาลืมเรื่องเขาไปค่ะ,positive
พอกลับมาอยู่คนเดียวกูฟุ้งซ่านคิดถึงเขาจนร้องไห้,negative
เขาชอบโพสเรื่องเศร้าเเละในสตอรี่ก็ลงเพลงที่คิดถึงเเฟนเก่า,negative
บอกว่าที่ผ่านมาเราคือแฟน,positive
แล้วยิ่งหลังๆมานี้ส่งเพลงมาให้อีก มีแต่เพลงรัก เพลงแอบชอบอีก,positive
ทำไมปากกับความรู้สึกมันสวนทางกัน,negative
ผู้หญิงที่ทำให้ผมอยากเข้าไปทำความรู้จักนั่น มักมีอะไรบางอย่างที่ดึงดูดให้ผมอยากเข้าไปทักทาย,positive
เขาคุยกันดีมากๆ,positive
เราสามารถลืมเขาได้ในความทรงจำแต่ยังไม่สามารถตัดใจ,negative
ผมตามจีบเขาทุกวัน,positive
เรายังไม่มีอะไรกันนะคะ,negative
ก็มันก็เป็นข้อดี ที่ทำให้เราทั้งคู่ได้ใช้เวลาและระยะทาง ให้คุ้มค่าเวลาเจอกันแต่ละครั้ง,positive
แฟนโมโหแล้วด่าเราต่างๆนา จากนั้นก็มีปากเสียงกันนิดหน่อย แฟนโมโหมากโยนมือถือทิ้งจนแตกกระจาย,negative
ด้วยความที่เราอยู่ด้วยความสบายใจมากซะส่วนใหญ่,positive
ไม่เที่ยวกลางคืน,positive
ไปได้ด้วยความเชื่อที่แข็งแกร่งกว่าเดิมนั่นเอง,positive
ฝึกคิดบวกกับทุกๆ สิ่ง,positive
เขาห้ามทุกๆอย่างที่เราชอบ,negative
เราก็ยังไม่อยากมองหาใครนะ,negative
เรามีเพื่อนคนนึงค่ะเป็นผู้ชายรู้จักกันมา2ปีกว่าๆ,positive
แต่พอผมถามว่าเป็นแฟนได้ยังเขาบอกว่ายังไม่ได้,negative
ไม่ค่อยพาไปกินข้าวหาเวลาอยู่ด้วย,negative
เราก็กลับมามีความสัมพันกันอีกครั้ง,positive
เขาก็ไม่รู้ว่าเราชอบตอนแรกๆ,positive
รู้จักกับเพื่อนคนนี้มา10กว่าปีแล้ว สนิทกันมาก,positive
ความรักที่ทำให้คุณจินตนาการไม่ออกว่าคุณจะเลิกรักกันได้ยังไง,positive
เราได้คุยกับพี่เขามาก็สักพักนึงแล้ว,positive
แล้วเรากับลูกไปอยู่ตรงไหน,negative
เขาทำเป็นเหมือนยังไม่ได้โทรศัพท์ไม่ทักมาหาเราเลยค่ะ,negative
หลังๆแฟนก็เริ่ม ไม่เห็นความสำคัญ ทุกอย่างมาก่อนเราเสมอ ทำอะไรไม่เคยบอก ไม่เทคแคร์แล้ว.,negative
เวลาที่เราเจออะไรเเย่ๆมาเค้าไม่เคยปลอบเราเลย,negative
เค้าเลือกที่จะบล๊อคเราทุกๆอย่าง,negative
จะทะเลาะกับแฟนเสมอ,negative
ความฝันเหล่านั้นมันกำลังจะแตกสลายไปพร้อมกับหัวใจเรา,negative
พอเขาเลิกกันเราก็ดีใจนะคะแต่ก็เสียใจไปกับเพื่อนด้วย,negative
บางทีเค้ากินเหล้านอกบ้าน เรากลัวว่าถ้าเค้าเมา เค้าจะไปมีคนอื่นมั้ย,negative
คนคิดบวกจะรู้เสมอว่า ควรทำอะไรให้คนรู้สึกดี,positive
แฟนเราหนีออกจากบ้านเพราะมีปัญหากับครอบครัว,negative
ไม่ว่าวันสำคัญ ไม่ค่อยว่างคุยทั้งที่เมื่อก่อนก็ว่างนิคะ,negative
ไม่เคยทะเลาะกันเลย,positive
เราแอบชอบมาสักพักแล้ว เราอยู่มัธยมต้น(เด็กเกินไปแหละ) เขาเป็นอาจารย์นิสิตฝึกสอน,positive
พอเราถามว่าไม่พอใจเหรอก็ไม่พูดกับเราแล้วนี้ไม่ใช่ครั้งแรก,negative
ตัวเราเองก้อรักแฟนเรามากเหมือนกัน,positive
ช่วงนี้ก็โทรคุยกันทุกวันเลยค่ะ เขาก็สัญญาว่าจะโทรคุยทุกวัน,positive
ให้เราได้รู้สึกว่าเรายังมีเค้านะ เราไม่ได้อยู่คนเดียว,positive
พูดแล้วก็เศร้าครับ ,negative
ไม่จำเป็นต้องพูดให้มันมากความ,negative
เราตั้งใจจะเลิกกับเขาเพราะเราทนไม่ได้ที่เราไร้ตัวตนแบบนี้,negative
เขาบอกว่าข้างในเขารัก ถ้ารู้ตัวเองว่าตัวเองดีแล้วก็ขอให้มั่นใจ,positive
เรากลับมาคบกับแฟนเก่าเพราะเค้าตื้อ,positive
ผมก็คุยมาเรื่อยๆจนได้คบกัน แล้วก็อยู่ด้วยกันตลอดเลย,positive
ไม่อยากใช้คำว่าสงสาร,negative
เราอึดอัดในสถานะแฟน,negative
ได้ความรู้สึกรักแบบไม่ต้องบอกรักได้ดีมาก,positive
แค้นมาก โมโหมาก แต่ทำได้แค่นั่งแค้นในใจ,negative
ควรหึงให้เป็น,negative
อยากไปไหนก็ไป,positive
เลยทำให้เราโดนเทอีกแล้ว,negative
ต้องรู้จักมองโลกในแง่ดี,positive
เค้าก็หาว่าเราทิ้งเค้าตอนสอบเข้ามหาลัย,negative
มาถึงวันนึง เขากลับบอกให้ผมมูฟออนจากเขา,negative
รักในครั้งนี้สำหรับเรา มันดีพอ,positive
เราเสียใจเค้าไม่เคยปลอบเลย,negative
แต่ผู้หญิงไม่เลิกทั้งเดือน,negative
เวลาที่เค้าทักมาเราจะดีใจทุกครั้ง,positive
โฟกัสในสิ่งที่ทำได้แล้วพยายามแก้ไขปัญหานั้น,positive
เเบบนี้คือเรียกว่าเค้าเบื่อหรืออะไรเหรอคะ,negative
พอเห็นเเบบนี้ทีไรหมดไฟตลอดเลยค่ะ,negative
มีความสัมพันธ์กัน,positive
เลิกกันไป4-5เดือน,negative
50กว่ายังมีครอบคร้วใหม่ได้,positive
เราไม่รู้สึกถึงความอบอุ่นเลย เหมือนใช้ชีวิตอยู่กันไปวันๆ,negative
ผมก็นั่งเสียใจอยู่อาทิตย์หนึ่ง,negative
การคิดบวกจะช่วยให้มองเห็นทางออกของปัญหา,positive
เค้าคนนั้นคือความสุขทั้งหมด,positive
เราเคยนอกใจเขารอบนึง,negative
ช่วงมหาลัยก็ห่างๆกันไปเพราะเพื่อนในกลุ่มเรียนที่ต่างจังหวัดเลยไม่ค่อยได้มาเจอกัน,negative
เขาสวยและน่ารักมาก ผมเลยพยายามเข้าหาบ่อยๆ,positive
เรายังรู้สึกสบายใจเวลาคุยกับเขาเหมือนเดิม,positive
ไม่มีอะไรแย่ไปกว่าการสิ้นหวัง,negative
ให้กำลังใจและให้คำปรึกษาในแง่บวกกับเขา,positive
อย่างที่เราบอกไปตอนต้น เราเป็นคนสบายๆค่ะ,positive
โอเคเราสบายใจละ,positive
คนกับมา 3-4 ปีแล้ว ผมก็ไม่อยากเลิกหรอก เพราะเค้าก็เป็นคนดี ขยัน อดทน ทำงานเก่ง,positive
เราทำอะไรผิดรึเปล่า,negative
ช่วงนี้ทะเลาะกันบ่อยมากโดยเฉพาะเรื่องเงิน,negative
เป็นวันแรกที่เจ็บปวดมากๆ ทุกอย่างมืดไปหมด,negative
ปัจจุบันก็ยังอยู่ด้วยกัน,positive
แม้ปลายทางสุดท้ายเราจะไม่ใช่คนที่อยุ่ตรงนั้น,negative
เราจะเดินต่อไปยังงัยดี,negative
ผมก็อยู่ตัวคนเดียวด้วย ไม่มีใครดูแล,negative
เราก็แค่อยากลองหาโอกาสคุยกัน พัฒนาไปเรื่อยๆ แบบเราจีบเค้าอะค่ะ เพราะเราชอบจีบก่อนอยู่แล้ว,positive
แฟนเรากับเราไม่ค่อยเข้าใจกันค่ะ,negative
เค้าเลยตัดสินใจจะมูฟออน,negative
เขาจะบอกว่าหาเรื่องทะเลาะกันอีกแล้ว,negative
จะกลับมาคบ แต่เราเองเป็นฝ่ายที่ไม่คบ,negative
ปากบอกตลอดว่าไม่มีทางกลับไปคบ,negative
เขาก็คอยส่งข้อความมาทุกวัน,positive
เราก็อยากจะเป็นคนที่ดีขึ้นเพื่อเขา,positive
เค้าดูแลเอาใจใส่ดีมาก,positive
ตัวเราเองก็ให้โอกาสนะคะ,positive
คบกับแฟนคนหนึ่งค่ะ รู้จักกันมาสักพักแล้วคือก็คุยกันเรื่องอนาคต,positive
หนูคบกับแฟนได้เกือบ3ปีแล้ว,positive
กับแฟนเก่าก็มีอะไรกันเป็นเรื่องปกติ,positive
รักตัวเอง ดูแลตัวเอง คนจะกลับก็กลับมาเอง,positive
ถึงขั้นร้องไห้เลย แบบมันไม่ไหวจริงๆแล้ว,negative
แอบคบกันในที่ทำงานแล้วบอกใครไม่ได้,negative
เราไม่โอเคที่เธอสนใจแต่แมวมากเกินไปจนไม่มีเวลาให้แฟนเลย,negative
ความรักที่ทำให้คุณยอมรับในจุดด้อยของตัวเองได้,positive
มีอีกคนหนึ่งเขามาให้รู้สึกดีเหมือนกัน,positive
เขาได้มาบอกเราทีหลังว่า boss ไม่ให้มีความสัมพันธ์กันคนไทยนะ,negative
คุยกับพวกเขายิ้มแย้มคุยได้ เป็น ชั่วโมงๆ,positive
ความรักที่ทำให้คุณเป็นตัวเองได้อย่างเต็มที่,positive
มีพี่อีกคนที่เป็นผู้หญิงเหมือนกันมาบอกผมว่า พี่คนนี้ชอบผม แล้วเขาก็ทักมาคุย,positive
เราคุยกับคนคนนึงอยู่ค่ะ,positive
จริงๆเรางี่เง่า เอาเเต่ใจ โมโหง่ายมากๆ จะว่าเป็นผู้หญิงน่าลำคานก็ได้นะคะถ้าเรื่องเเฟน เพราะเราก็เคยโดนนอกใจ,negative
พี่สาวเรากับพี่เขยเราแต่งงานกัน มีลูกแล้ว,positive
เคยบอกความรู้สึกเราแล้ว,positive
เราไม่อยากเริ่มคุยกับใครหรือเริ่มต้นใหม่กับใครเลย,negative
มีครั้งหนึ่งทะเลาะกันแรงมาก,negative
เราติดเพื่อนกันทั้งคู่,positive
เราโคตรระแวงเวลาเค้าไปกับพวกพี่ๆ พวกนี้,negative
แล้วเขาเริ่มที่จะเข้ามาหาเรา,positive
วันนั้นคือเค้าไม่กลับบ้าน,negative
เรากับแฟนคบกันมา3ปี เป็นรักระยะไกล ผมจะไปหาเขาทุกวันหยุดยาว,positive
ฝึกตัวเองให้คิดบวก เรื่องดีๆจะเข้ามาทุกวัน,positive
อันนี้เขาไม่ได้เศร้าอะไรที่เกี่ยวกับเราใช่มั้ยคะ,negative
จนวันสอบวันสุดท้ายเค้ามาบอกกับเราว่าเลิกคุยกันเถอะ,negative
ความจริงนั้น คนคิดบวกคือคนที่ยังมองทุกอย่างในแบบที่มันเป็น,positive
เราก็ยังรู้สึกคิดถึงเขาเเละคิดถึงช่วงเวลาตอนนั้นที่มีเขาอยู่ด้วย,positive
ผมเคยอกหักหลายครั้งมาก เสียเงินและเสียใจกับความรักนับครั้งไม่ถ้วน,negative
เราระแวงไปหมด ควรทำยังไงดีค่ะ,negative
ตอนที่เคยคบกับแฟนเก่าคนนึง ตอนนั้นมันดีมากๆค่ะ,positive
เราเจอคนที่พอดี สำหรับกันและกันค่ะ,positive
กะว่าจะขอวิธีบอกเลิกที่ไม่เจ็บมากหน่อย,negative
วนมาคุยกันใหม่ตลอดจนตอนนี้เราได้คุยกันแบบเหมือนคนรักเลยเหมือนแฟนเลย,positive
เริ่มไม่ไหวกับพฤติกรรมของแฟนแล้ว,negative
เดินไปก็ยิ้ม ทำอะไรก็ยิ้ม,positive
ดิฉันอยู่กินกันแฟนใหม่มา2ปี มีลูกติด1คนแฟนใหม่ช่วยเลี้ยงดู ส่งเสียให้เรียนหนังสือค่าขนมค่านมค่าหมอทุกอย่างแฟนเป็นจ่ายให้,positive
การออกกำลังกายทำให้ร่างกาย ช่วยลดความเครียด,positive
ให้กำลังใจ,positive
เราจะคุยกับใครแล้วที่เค้าคิดเหมือนเรา หลายๆคนก็ชอบให้ความหวัง,positive
เราบอกเขาว่าเราอยากอยู่คนเดียว เขาก็บอกเราว่าถ้าไม่ทะเลาะกันก็ไม่มีอะไร มันทำให้เรายิ่งรู้สึกแย่,negative
คุยกันทุกวัน โทรหากันตลอด,positive
ขอคำบอกรักแฟนสั้นๆซึ้งๆหน่อยค่ะ,positive
จะมีคำพูดหวานๆ การดูแลกันที่ดีขึ้น,positive
เวลาได้เรียนด้วยรู้สึกมีกำลังใจ,positive
เเต่สุดท้ายเค้าก็เป็นเหมือนเดิมเลยค่ะ,negative
เขาก็ยังทำแบบเดิมทุกที,negative
พอมาเจอน้องคนนี้แล้วทำไม ผมจึงชอบน้องเขามากขนาดนี้ก็ไม่รู้,positive
แค่คิดว่าเค้าน่ารักดี,positive
ทำในสิ่งที่ต้องทำให้ดีที่สุดเสมอ,positive
